Season,Round,Race,Country,Location,EventDate
2024,1,Bahrain Grand Prix,Bahrain,Sakhir,2024-03-02
2024,2,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2024-03-09
2024,3,Australian Grand Prix,Australia,Melbourne,2024-03-24
2024,4,Japanese Grand Prix,Japan,Suzuka,2024-04-07
2024,5,Chinese Grand Prix,China,Shanghai,2024-04-21
2024,6,Miami Grand Prix,United States,Miami,2024-05-05
2024,7,Emilia Romagna Grand Prix,Italy,Imola,2024-05-19
2024,8,Monaco Grand Prix,Monaco,Monaco,2024-05-26
2024,9,Canadian Grand Prix,Canada,Montréal,2024-06-09
2024,10,Spanish Grand Prix,Spain,Barcelona,2024-06-23
2024,11,Austrian Grand Prix,Austria,Spielberg,2024-06-30
2024,12,British Grand Prix,United Kingdom,Silverstone,2024-07-07
2024,13,Hungarian Grand Prix,Hungary,Budapest,2024-07-21
2024,14,Belgian Grand Prix,Belgium,Spa-Francorchamps,2024-07-28
2024,15,Dutch Grand Prix,Netherlands,Zandvoort,2024-08-25
2024,16,Italian Grand Prix,Italy,Monza,2024-09-01
2024,17,Azerbaijan Grand Prix,Azerbaijan,Baku,2024-09-15
2024,18,Singapore Grand Prix,Singapore,Marina Bay,2024-09-22
2024,19,United States Grand Prix,United States,Austin,2024-10-20
2024,20,Mexico City Grand Prix,Mexico,Mexico City,2024-10-27
2024,21,São Paulo Grand Prix,Brazil,São Paulo,2024-11-03
2024,22,Las Vegas Grand Prix,United States,Las Vegas,2024-11-23
2024,23,Qatar Grand Prix,Qatar,Lusail,2024-12-01
2024,24,Abu Dhabi Grand Prix,United Arab Emirates,Yas Island,2024-12-08
