iter	RMSE
0	5.500602555
1	5.234579449
2	5.015166984
3	4.788990162
4	4.576475635
5	4.384717435
6	4.211857099
7	4.057516249
8	3.864148047
9	3.707884486
10	3.578516682
11	3.437248586
12	3.320433827
13	3.196184651
14	3.094163017
15	2.982002531
16	2.893894652
17	2.773812764
18	2.672555275
19	2.584295061
20	2.513109332
21	2.439264061
22	2.375795232
23	2.319662044
24	2.246959507
25	2.186762043
26	2.117339842
27	2.07350819
28	2.010719011
29	1.941988486
30	1.897324631
31	1.847642728
32	1.80216348
33	1.761113829
34	1.717888269
35	1.685540099
36	1.643383343
37	1.592417301
38	1.566279078
39	1.526721676
40	1.486367296
41	1.465777413
42	1.4342998
43	1.402078654
44	1.37189612
45	1.337483356
46	1.306255891
47	1.275252209
48	1.24544446
49	1.213457065
50	1.185364976
51	1.16203788
52	1.132100798
53	1.106480593
54	1.086113557
55	1.0590515
56	1.044222571
57	1.030909793
58	1.007544468
59	0.9893160805
60	0.9790609401
61	0.9668785967
62	0.9580520803
63	0.9414382036
64	0.9307046802
65	0.9137699291
66	0.9014750302
67	0.8859865584
68	0.8774601992
69	0.8634609511
70	0.8551442797
71	0.8457330536
72	0.839169545
73	0.8290590058
74	0.8214754917
75	0.8072791116
76	0.7933114314
77	0.7844611714
78	0.7773621204
79	0.7623690139
80	0.756584296
81	0.7451109034
82	0.7314869265
83	0.7201679639
84	0.7142761112
85	0.7113134039
86	0.6965999415
87	0.6886443712
88	0.6836209252
89	0.6802467601
90	0.6705363287
91	0.662424925
92	0.6520575978
93	0.6447610984
94	0.6392076814
95	0.630128681
96	0.6260868572
97	0.6137657909
98	0.6043683522
99	0.6005420527
100	0.590913762
101	0.5812751703
102	0.5715284707
103	0.563179012
104	0.5525506518
105	0.5470980071
106	0.5417148382
107	0.5335308927
108	0.528765884
109	0.5199354305
110	0.5112233069
111	0.5068673835
112	0.5005185328
113	0.4924705815
114	0.4851566321
115	0.4791515244
116	0.4738786329
117	0.4659554404
118	0.4624472481
119	0.4547805191
120	0.4484845422
121	0.4420595241
122	0.4359020543
123	0.4286726113
124	0.4220723805
125	0.4176133115
126	0.4119673893
127	0.4053199957
128	0.4006924667
129	0.3976066474
130	0.3926408036
131	0.3885866076
132	0.3846996567
133	0.3782208677
134	0.3746722333
135	0.368615808
136	0.3658506124
137	0.3623029077
138	0.3574399276
139	0.3536928743
140	0.34979443
141	0.3454223644
142	0.34175087
143	0.3378036215
144	0.3367897257
145	0.333412262
146	0.331199449
147	0.3285259054
148	0.3261994822
149	0.3248224099
150	0.3210322683
151	0.3184240618
152	0.3177043829
153	0.3141206168
154	0.3115114752
155	0.3109545965
156	0.3085300681
157	0.3066370957
158	0.3032131128
159	0.3026878904
160	0.3021930842
161	0.2999562799
162	0.2985267454
163	0.2958856942
164	0.294081472
165	0.2936329605
166	0.2906841538
167	0.2873412319
168	0.2869342355
169	0.2854879343
170	0.2830019108
171	0.2808822616
172	0.2780625634
173	0.2776574385
174	0.2751101791
175	0.2740916851
176	0.271136702
177	0.2701046372
178	0.2684403981
179	0.26637122
180	0.2643364966
181	0.2622131956
182	0.2616266021
183	0.2605189237
184	0.2594850555
185	0.2581587218
186	0.2569325993
187	0.2563964442
188	0.2556482049
189	0.2530542123
190	0.2519630188
191	0.2507993684
192	0.2488199313
193	0.2476677127
194	0.2463161298
195	0.2458736204
196	0.2441039925
197	0.2430178422
198	0.2410278176
199	0.2396918752
200	0.2392170067
201	0.238200342
202	0.2362556938
203	0.2346834067
204	0.233040947
205	0.2325542118
206	0.2307217112
207	0.2293096562
208	0.2282932743
209	0.2273675352
210	0.2266742934
211	0.2258273715
212	0.2246433504
213	0.2234513164
214	0.2222954559
215	0.2220775839
216	0.2204961069
217	0.21943842
218	0.2180812309
219	0.2176448023
220	0.2161802987
221	0.2149823256
222	0.2134875712
223	0.2122023773
224	0.2104856202
225	0.2092612087
226	0.2079607129
227	0.2069690533
228	0.2054773328
229	0.2043689044
230	0.2028552608
231	0.2018449552
232	0.2005787173
233	0.1996013762
234	0.1988023798
235	0.197365268
236	0.1963311304
237	0.194942327
238	0.1942166195
239	0.1934837865
240	0.192529985
241	0.1915471521
242	0.1902846674
243	0.1893603692
244	0.1881220962
245	0.1868476442
246	0.1856499527
247	0.1849978318
248	0.1839970061
249	0.183431757
250	0.1827880423
251	0.1822587632
252	0.1814551052
253	0.180276407
254	0.1790928742
255	0.1784019398
256	0.1777603165
257	0.1770345973
258	0.1763695443
259	0.1757058721
260	0.1750404019
261	0.1746933139
262	0.1737991587
263	0.1731591549
264	0.1722255688
265	0.1710944371
266	0.1699877368
267	0.1687288751
268	0.1676548566
269	0.1669015051
270	0.1661760733
271	0.165146834
272	0.1649551075
273	0.1641838259
274	0.1633379368
275	0.1622738404
276	0.1611615281
277	0.1600972062
278	0.1596558021
279	0.1590927802
280	0.1581307366
281	0.1576711419
282	0.1567831749
283	0.156654951
284	0.1565182903
285	0.1556655729
286	0.1547412453
287	0.1539722808
288	0.1532796366
289	0.1526339976
290	0.151533158
291	0.1508470125
