iter	Passed	Remaining
0	62	31198
1	62	15632
2	63	10439
3	63	7839
4	63	6281
5	63	5247
6	64	4508
7	64	3951
8	64	3516
9	64	3168
10	64	2884
11	65	2647
12	65	2446
13	65	2274
14	65	2124
15	65	1993
16	66	1878
17	66	1776
18	66	1684
19	66	1601
20	66	1526
21	67	1458
22	67	1396
23	67	1339
24	67	1286
25	67	1238
26	68	1194
27	68	1152
28	68	1113
29	68	1077
30	68	1043
31	69	1011
32	69	981
33	69	953
34	69	926
35	69	901
36	70	877
37	70	855
38	70	833
39	70	813
40	70	793
41	71	775
42	71	758
43	71	742
44	71	726
45	72	711
46	72	697
47	72	683
48	72	670
49	73	657
50	73	644
51	73	633
52	73	621
53	74	611
54	74	601
55	74	590
56	74	580
57	74	570
58	75	561
59	75	552
60	75	543
61	75	534
62	75	526
63	76	518
64	76	510
65	76	503
66	76	495
67	76	488
68	77	481
69	77	475
70	77	468
71	77	462
72	77	455
73	78	449
74	78	443
75	78	438
76	78	432
77	79	427
78	79	422
79	79	417
80	79	413
81	80	408
82	80	403
83	80	399
84	80	394
85	80	389
86	81	389
87	82	384
88	82	380
89	82	376
90	82	372
91	83	368
92	83	364
93	83	360
94	83	356
95	83	353
96	84	349
97	84	345
98	84	342
99	84	338
100	84	335
101	85	331
102	85	328
103	85	325
104	85	322
105	85	319
106	86	316
107	86	313
108	86	310
109	86	307
110	86	304
111	87	301
112	87	299
113	87	296
114	87	293
115	87	291
116	88	288
117	88	286
118	88	283
119	88	281
120	89	279
121	89	276
122	89	274
123	89	272
124	89	269
125	90	267
126	90	265
127	90	263
128	90	261
129	91	259
130	91	256
131	91	254
132	91	252
133	91	250
134	92	248
135	92	246
136	92	244
137	92	242
138	92	240
139	92	239
140	93	237
141	93	235
142	93	233
143	93	231
144	93	230
145	94	228
146	94	226
147	94	225
148	94	223
149	95	222
150	95	220
151	95	219
152	96	217
153	96	216
154	96	214
155	96	213
156	97	212
157	97	210
158	97	209
159	97	207
160	97	206
161	98	204
162	98	203
163	98	202
164	98	200
165	98	199
166	99	197
167	99	196
168	99	194
169	99	193
170	99	192
171	100	190
172	100	189
173	100	188
174	100	187
175	101	186
176	101	184
177	101	183
178	101	182
179	101	181
180	102	180
181	102	178
182	102	177
183	102	176
184	103	175
185	103	174
186	103	173
187	103	172
188	103	171
189	104	170
190	104	168
191	104	167
192	104	166
193	105	165
194	105	164
195	105	163
196	105	162
197	105	161
198	106	160
199	106	159
200	106	158
201	106	157
202	106	156
203	107	155
204	107	154
205	107	153
206	107	152
207	108	152
208	108	151
209	108	150
210	108	149
211	109	148
212	109	147
213	109	146
214	109	145
215	110	144
216	110	143
217	110	142
218	110	142
219	111	141
220	111	140
221	112	140
222	112	139
223	112	138
